Item,Description,Proper,Vender Desc,UM,UL,Crew,Output,Material,Labor,Equipment,Total
01,GENERAL,GENERAL,GENERAL,,,,,,,,
01-01,GENERAL REQUIREMENTS,REQUIREMENTS,REQUIREMENTS,,,,,,,,
01-21,ALLOWANCES,ALLOWANCES,ALLOWANCES,,,,,,,,
01-21-00-10,ALLOWANCES,ALLOWANCES,ALLOWANCES,,,,,,,,
01-21-00-10-0090,Overhead,      Overhead,,,,,,,,,
01-21-00-10-1000,"$20,000 project","            $20,000 project",,,,,,,,,
01-21-00-10-1020,"Allowances, overhead, $20,000 project, minimum",               Minimum,"Overhead, $20,000 project, minimum",PCT,,,,,,,15.00%
01-21-00-10-1040,"Allowances, overhead, $20,000 project, average",               Average,"Overhead, $20,000 project, average",PCT,,,,,,,20.00%
01-21-00-10-1060,"Allowances, overhead, $20,000 project, maximum",               Maximum,"Overhead, $20,000 project, maximum",PCT,,,,,,,40.00%
01-21-00-10-1080,"            $100,000 project","            $100,000 project",,,,,,,,,
01-21-00-10-1100,"Allowances, overhead, $100,000 project, minimum",               Minimum,"Overhead, $100,000 project, minimum",PCT,,,,,,,12.00%
01-21-00-10-1120,"Allowances, overhead, $100,000 project, average",               Average,"Overhead, $100,000 project, average",PCT,,,,,,,15.00%
01-21-00-10-1140,"Allowances, overhead, $100,000 project, maximum",               Maximum,"Overhead, $100,000 project, maximum",PCT,,,,,,,25.00%
01-21-00-10-1160,"Allowances, maximum, $500000 project","            $500,000 project",,,,,,,,,
01-21-00-10-1170,"Allowances, overhead, $500,000 project, minimum",               Minimum,"Overhead, $500,000 project, minimum",PCT,,,,,,,10.00%
01-21-00-10-1180,"Allowances, overhead, $500,000 project, average",               Average,"Overhead, $500,000 project, average",PCT,,,,,,,12.00%
01-21-00-10-1200,"Allowances, overhead, $500,000 project, maximum",               Maximum,"Overhead, $500,000 project, maximum",PCT,,,,,,,20.00%
01-21-00-10-1220,"            $1,000,000 project","            $1,000,000 project",,,,,,,,,
01-21-00-10-1240,"Allowances, overhead, $1,000,000 project, minimum",               Minimum,"Overhead, $1,000,000 project, minimum",PCT,,,,,,,6.00%
01-21-00-10-1260,"Allowances, overhead, $1,000,000 project, average",               Average,"Overhead, $1,000,000 project, average",PCT,,,,,,,10.00%
01-21-00-10-1280,"Allowances, overhead, $1,000,000 project, maximum",               Maximum,"Overhead, $1,000,000 project, maximum",PCT,,,,,,,12.00%
01-21-00-10-1380,"            $10,000,000 project","            $10,000,000 project",,,,,,,,,
01-21-00-10-1385,"Allowances, overhead, $10,000,000 project, minimum",               Minimum,"Overhead, $10,000,000 project, minimum",PCT,,,,,,,1.50%
01-21-00-10-1386,"Allowances, overhead, $10,000,000 project, average",               Average,"Overhead, $10,000,000 project, average",PCT,,,,,,,5.00%
01-21-00-10-1388,"Allowances, overhead, $10,000,000 project, maximum",               Maximum,"Overhead, $10,000,000 project, maximum",PCT,,,,,,,8.00%
01-21-00-10-1480,      Profit,      Profit,,,,,,,,,
01-21-00-10-1500,"            $20,000 project","            $20,000 project",,,,,,,,,
01-21-00-10-1520,"Allowances, profit, $20,000 project, minimum",               Minimum,"Profit, $20,000 project, minimum",PCT,,,,,,,10.00%
01-21-00-10-1540,"Allowances, profit, $20,000 project, average",               Average,"Profit, $20,000 project, average",PCT,,,,,,,15.00%
01-21-00-10-1560,"Allowances, profit, $20,000 project, maximum",               Maximum,"Profit, $20,000 project, maximum",PCT,,,,,,,25.00%
01-21-00-10-1580,"            $100,000 project","            $100,000 project",,,,,,,,,
01-21-00-10-1600,"Allowances, profit, $100,000 project, minimum",               Minimum,"Profit, $100,000 project, minimum",PCT,,,,,,,10.00%
01-21-00-10-1620,"Allowances, profit, $100,000 project, average",               Average,"Profit, $100,000 project, average",PCT,,,,,,,12.00%
